page_id,url,template,audience,intent_id,main_entities,status,source_date
L-0163,/gemstones/moonstone/can-go-in-water,gemstone sub-page,enthusiast,INT-moonstone-can-go-in-water,Moonstone,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0164,/gemstones/moonstone/meaning,gemstone sub-page,enthusiast,INT-moonstone-meaning,Moonstone,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0165,/gemstones/moss-agate/can-go-in-water,gemstone sub-page,enthusiast,INT-moss-agate-can-go-in-water,Moss Agate,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0166,/gemstones/moss-agate/meaning,gemstone sub-page,enthusiast,INT-moss-agate-meaning,Moss Agate,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0167,/gemstones/obsidian/can-go-in-water,gemstone sub-page,enthusiast,INT-obsidian-can-go-in-water,Obsidian,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0168,/gemstones/opal/can-go-in-water,gemstone sub-page,enthusiast,INT-opal-can-go-in-water,Opal,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0169,/gemstones/opal/who-should-not-wear,gemstone sub-page,enthusiast,INT-opal-who-should-not-wear,Opal,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0170,/gemstones/opalite/can-go-in-water,gemstone sub-page,enthusiast,INT-opalite-can-go-in-water,Opalite,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0171,/gemstones/opalite/meaning,gemstone sub-page,enthusiast,INT-opalite-meaning,Opalite,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0172,/gemstones/peach-moonstone/meaning,gemstone sub-page,enthusiast,INT-peach-moonstone-meaning,Peach Moonstone,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0173,/gemstones/peridot/who-should-not-wear,gemstone sub-page,enthusiast,INT-peridot-who-should-not-wear,Peridot,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0174,/gemstones/pink-agate/meaning,gemstone sub-page,enthusiast,INT-pink-agate-meaning,Pink Agate,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0175,/gemstones/pyrite/can-go-in-water,gemstone sub-page,enthusiast,INT-pyrite-can-go-in-water,Pyrite,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0176,/gemstones/pyrite/who-should-not-wear,gemstone sub-page,enthusiast,INT-pyrite-who-should-not-wear,Pyrite,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0177,/gemstones/rainbow-hematite/meaning,gemstone sub-page,enthusiast,INT-rainbow-hematite-meaning,Rainbow Hematite,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0178,/gemstones/red-agate/meaning,gemstone sub-page,enthusiast,INT-red-agate-meaning,Red Agate,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0179,/gemstones/red-jasper/can-go-in-water,gemstone sub-page,enthusiast,INT-red-jasper-can-go-in-water,Red Jasper,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0180,/gemstones/red-tigers-eye/meaning,gemstone sub-page,enthusiast,INT-red-tigers-eye-meaning,Red Tiger's Eye,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0181,/gemstones/rhodonite/can-go-in-water,gemstone sub-page,enthusiast,INT-rhodonite-can-go-in-water,Rhodonite,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0182,/gemstones/rose-quartz/can-go-in-water,gemstone sub-page,enthusiast,INT-rose-quartz-can-go-in-water,Rose Quartz,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0183,/gemstones/rose-quartz/meaning,gemstone sub-page,enthusiast,INT-rose-quartz-meaning,Rose Quartz,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0184,/gemstones/rose-quartz/sleeping-with,gemstone sub-page,enthusiast,INT-rose-quartz-sleeping-with,Rose Quartz,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0185,/gemstones/rose-quartz/who-should-not-wear,gemstone sub-page,enthusiast,INT-rose-quartz-who-should-not-wear,Rose Quartz,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0186,/gemstones/ruby-zoisite/meaning,gemstone sub-page,enthusiast,INT-ruby-zoisite-meaning,Ruby Zoisite,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0187,/gemstones/selenite/can-go-in-water,gemstone sub-page,enthusiast,INT-selenite-can-go-in-water,Selenite,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0188,/gemstones/smoky-quartz/can-go-in-water,gemstone sub-page,enthusiast,INT-smoky-quartz-can-go-in-water,Smoky Quartz,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0189,/gemstones/smoky-quartz/meaning,gemstone sub-page,enthusiast,INT-smoky-quartz-meaning,Smoky Quartz,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0190,/gemstones/sodalite/can-go-in-water,gemstone sub-page,enthusiast,INT-sodalite-can-go-in-water,Sodalite,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0191,/gemstones/strawberry-quartz/can-go-in-water,gemstone sub-page,enthusiast,INT-strawberry-quartz-can-go-in-water,Strawberry Quartz,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0192,/gemstones/strawberry-quartz/meaning,gemstone sub-page,enthusiast,INT-strawberry-quartz-meaning,Strawberry Quartz,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0193,/gemstones/sunstone/can-go-in-water,gemstone sub-page,enthusiast,INT-sunstone-can-go-in-water,Sunstone,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0194,/gemstones/sunstone/meaning,gemstone sub-page,enthusiast,INT-sunstone-meaning,Sunstone,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0195,/gemstones/tiger-eye/can-go-in-water,gemstone sub-page,enthusiast,INT-tiger-eye-can-go-in-water,Tiger Eye,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0196,/gemstones/tiger-eye/meaning,gemstone sub-page,enthusiast,INT-tiger-eye-meaning,Tiger Eye,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0197,/gemstones/tiger-eye/sleeping-with,gemstone sub-page,enthusiast,INT-tiger-eye-sleeping-with,Tiger Eye,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0198,/gemstones/tiger-eye/who-should-not-wear,gemstone sub-page,enthusiast,INT-tiger-eye-who-should-not-wear,Tiger Eye,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0199,/gemstones/tortoise-ring/who-should-not-wear,gemstone sub-page,enthusiast,INT-tortoise-ring-who-should-not-wear,Tortoise Ring,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0200,/gemstones/tree-agate/meaning,gemstone sub-page,enthusiast,INT-tree-agate-meaning,Tree Agate,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0201,/gemstones/turquoise/who-should-not-wear,gemstone sub-page,enthusiast,INT-turquoise-who-should-not-wear,Turquoise,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0202,/gemstones/white-agate/meaning,gemstone sub-page,enthusiast,INT-white-agate-meaning,White Agate,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0203,/gemstones/white-quartz/meaning,gemstone sub-page,enthusiast,INT-white-quartz-meaning,White Quartz,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0204,/gemstones/yellow-calcite/meaning,gemstone sub-page,enthusiast,INT-yellow-calcite-meaning,Yellow Calcite,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0205,/crystals/11-best-crystals-for-grief,article,enthusiast,INT-crystals-11-best-crystals-for-grief,,live legacy article,sitemap 2026-09-17
L-0206,/learn/are-rocks-alive,article,enthusiast,INT-learn-are-rocks-alive,,live legacy article,sitemap 2026-09-17
L-0207,/learn/aura-quartz-healing-properties,article,enthusiast,INT-learn-aura-quartz-healing-properties,,live legacy article,sitemap 2026-09-17
L-0208,/crystals/best-crystals-for-connection-with-others,article,enthusiast,INT-crystals-best-crystals-for-connection-with-others,,live legacy article,sitemap 2026-09-17
L-0209,/crystals/best-crystals-for-sleep-enhance-sleep-quality-naturally,article,enthusiast,INT-crystals-best-crystals-for-sleep-enhance-sleep-quality-naturally,,live legacy article,sitemap 2026-09-17
L-0210,/compare/black-tourmaline-vs-obsidian,article,enthusiast,INT-compare-black-tourmaline-vs-obsidian,,live legacy article,sitemap 2026-09-17
L-0211,/crystals/crystals-for-anxiety,article,enthusiast,INT-crystals-crystals-for-anxiety,,live legacy article,sitemap 2026-09-17
L-0212,/crystals/crystals-for-independence,article,enthusiast,INT-crystals-crystals-for-independence,,live legacy article,sitemap 2026-09-17
L-0213,/crystals/crystals-for-jealousy,article,enthusiast,INT-crystals-crystals-for-jealousy,,live legacy article,sitemap 2026-09-17
L-0214,/crystals/crystals-for-nurses,article,enthusiast,INT-crystals-crystals-for-nurses,,live legacy article,sitemap 2026-09-17
L-0215,/crystals/crystals-for-protection,article,enthusiast,INT-crystals-crystals-for-protection,,live legacy article,sitemap 2026-09-17
L-0216,/learn/crystals-to-sleep-with-under-your-pillow,article,enthusiast,INT-learn-crystals-to-sleep-with-under-your-pillow,,live legacy article,sitemap 2026-09-17
L-0217,/learn/how-to-charge-crystals,article,enthusiast,INT-learn-how-to-charge-crystals,,live legacy article,sitemap 2026-09-17
L-0218,/learn/how-to-cleanse-crystals,article,enthusiast,INT-learn-how-to-cleanse-crystals,,live legacy article,sitemap 2026-09-17
L-0219,/learn/how-to-identify-kimberlite,article,enthusiast,INT-learn-how-to-identify-kimberlite,,live legacy article,sitemap 2026-09-17
L-0220,/learn/how-to-know-if-a-chakra-bracelet-is-real,article,enthusiast,INT-learn-how-to-know-if-a-chakra-bracelet-is-real,,live legacy article,sitemap 2026-09-17
L-0221,/learn/how-to-tell-if-black-tourmaline-is-real,article,enthusiast,INT-learn-how-to-tell-if-black-tourmaline-is-real,,live legacy article,sitemap 2026-09-17
L-0222,/compare/larvikite-vs-labradorite,article,enthusiast,INT-compare-larvikite-vs-labradorite,,live legacy article,sitemap 2026-09-17
L-0223,/compare/purple-quartz-vs-amethyst,article,enthusiast,INT-compare-purple-quartz-vs-amethyst,,live legacy article,sitemap 2026-09-17
L-0224,/learn/salt-safe-crystals,article,enthusiast,INT-learn-salt-safe-crystals,,live legacy article,sitemap 2026-09-17
L-0225,/learn/sun-safe-crystals,article,enthusiast,INT-learn-sun-safe-crystals,,live legacy article,sitemap 2026-09-17
L-0226,/compare/tree-agate-vs-moss-agate,article,enthusiast,INT-compare-tree-agate-vs-moss-agate,,live legacy article,sitemap 2026-09-17
L-0227,/learn/what-crystals-can-go-in-water,article,enthusiast,INT-learn-what-crystals-can-go-in-water,,live legacy article,sitemap 2026-09-17
